step,res,loss
328,16,0.38173386454582214
329,32,0.30982285737991333
330,16,0.3501220941543579
331,32,0.4382104277610779
332,16,0.41503939032554626
333,32,0.461094468832016
334,16,0.38047221302986145
335,32,0.2659534811973572
336,16,0.33378762006759644
337,32,0.4235125780105591
338,16,0.37972941994667053
339,32,0.46329498291015625
340,16,0.4051209092140198
341,32,0.40875858068466187
342,16,0.39339008927345276
343,32,0.410780131816864
344,16,0.44062602519989014
345,32,0.4387407898902893
346,16,0.40931084752082825
347,32,0.4182203412055969
348,16,0.3689822554588318
349,32,0.3298497200012207
350,16,0.43709155917167664
351,32,0.34249138832092285
352,16,0.43756869435310364
353,32,0.346836119890213
354,16,0.3861280083656311
355,32,0.40220263600349426
356,16,0.3629666864871979
357,32,0.3445151746273041
358,16,0.3343436121940613
359,32,0.34479618072509766
360,16,0.37765875458717346
361,32,0.36863264441490173
362,16,0.3825569450855255
363,32,0.40529340505599976
364,16,0.41955024003982544
365,32,0.43030846118927
366,16,0.3600846230983734
367,32,0.3301853835582733
368,16,0.4041891396045685
369,32,0.24843886494636536
370,16,0.32774364948272705
371,32,0.33406350016593933
372,16,0.39998117089271545
373,32,0.4621514678001404
374,16,0.39458197355270386
375,32,0.2531106770038605
376,16,0.4010751247406006
377,32,0.26266801357269287
378,16,0.3905981183052063
379,32,0.28699591755867004
380,16,0.37754911184310913
381,32,0.39077892899513245
382,16,0.3669719696044922
383,32,0.3103131353855133
384,16,0.3643772304058075
385,32,0.3439493477344513
386,16,0.3738061487674713
387,32,0.3168103098869324
388,16,0.3730078339576721
389,32,0.3145456910133362
390,16,0.32678523659706116
391,32,0.3210492730140686
392,16,0.38259047269821167
393,32,0.3102831542491913
394,16,0.4065513610839844
395,32,0.30123913288116455
396,16,0.3421355187892914
397,32,0.39556410908699036
398,16,0.3536599278450012
399,32,0.26630547642707825
400,16,0.36976832151412964
401,32,0.33180657029151917
402,16,0.33867794275283813
403,32,0.372097373008728
404,16,0.3260716199874878
405,32,0.3774849772453308
406,16,0.34441033005714417
407,32,0.30479538440704346
408,16,0.3249102234840393
409,32,0.3108712434768677
410,16,0.3730638325214386
411,32,0.325430691242218
412,16,0.3647459149360657
413,32,0.3405267894268036
414,16,0.3658415377140045
415,32,0.24771268665790558
416,16,0.3642215430736542
417,32,0.4295327365398407
418,16,0.32594576478004456
419,32,0.2880592346191406
420,16,0.3855038285255432
421,32,0.3395346999168396
422,16,0.3900144398212433
423,32,0.33097654581069946
424,16,0.3623436689376831
425,32,0.31873074173927307
426,16,0.371407687664032
427,32,0.3362315893173218
428,16,0.39193224906921387
429,32,0.3605566918849945
430,16,0.36204972863197327
431,32,0.3454991579055786
432,16,0.3709997236728668
433,32,0.41241544485092163
434,16,0.41287702322006226
435,32,0.32913127541542053
436,16,0.413700133562088
437,32,0.32717546820640564
438,16,0.3766189515590668
439,32,0.3815092444419861
440,16,0.4176710247993469
441,32,0.18891745805740356
442,16,0.37312445044517517
443,32,0.32806167006492615
444,16,0.29291343688964844
445,32,0.316918283700943
446,16,0.38364177942276
447,32,0.26502102613449097
448,16,0.36313802003860474
449,32,0.34298187494277954
450,16,0.3863007724285126
451,32,0.37645280361175537
452,16,0.34698486328125
453,32,0.39285850524902344
454,16,0.33458536863327026
455,32,0.28102007508277893
456,16,0.3745350241661072
457,32,0.3351699411869049
458,16,0.42412930727005005
459,32,0.3617185056209564
460,16,0.35602453351020813
461,32,0.3732430040836334
462,16,0.4092938303947449
463,32,0.3060702085494995
464,16,0.383696049451828
465,32,0.30657458305358887
466,16,0.4258010685443878
467,32,0.3758075535297394
468,16,0.3987092673778534
469,32,0.31653982400894165
470,16,0.40740764141082764
471,32,0.430294930934906
472,16,0.4060367941856384
473,32,0.3820717930793762
474,16,0.36850470304489136
475,32,0.3794580399990082
476,16,0.39180704951286316
477,32,0.28386756777763367
478,16,0.37713682651519775
479,32,0.3481752276420593
480,16,0.3670017123222351
481,32,0.3500051200389862
482,16,0.3567594885826111
483,32,0.2765471935272217
484,16,0.3179151713848114
485,32,0.31832921504974365
486,16,0.3923857808113098
487,32,0.3224521279335022
488,16,0.3563164472579956
489,32,0.3423701822757721
490,16,0.4139001667499542
491,32,0.32775142788887024
492,16,0.3674759864807129
493,32,0.35111212730407715
494,16,0.3621576726436615
495,32,0.3176371157169342
496,16,0.34454262256622314
497,32,0.2983616888523102
498,16,0.34871265292167664
499,32,0.28233033418655396
500,16,0.4004427492618561
501,32,0.31877079606056213
502,16,0.3505106568336487
503,32,0.3539423644542694
504,16,0.33124005794525146
505,32,0.3016607165336609
506,16,0.36549296975135803
507,32,0.3567672371864319
508,16,0.31603094935417175
509,32,0.33311039209365845
510,16,0.3248090147972107
511,32,0.3725561797618866
512,16,0.32490959763526917
513,32,0.35145318508148193
514,16,0.3524622917175293
515,32,0.31337612867355347
516,16,0.35340797901153564
517,32,0.2591206133365631
518,16,0.3319968581199646
519,32,0.3151150941848755
520,16,0.32358384132385254
521,32,0.33757099509239197
522,16,0.389929860830307
523,32,0.2598000168800354
524,16,0.3531256914138794
525,32,0.3854936957359314
526,16,0.3500802516937256
527,32,0.21820715069770813
528,16,0.38700175285339355
529,32,0.3167518079280853
530,16,0.38166192173957825
531,32,0.33717814087867737
532,16,0.3575766086578369
533,32,0.38670283555984497
534,16,0.36061057448387146
535,32,0.32353004813194275
536,16,0.35519179701805115
537,32,0.2298506796360016
538,16,0.38573017716407776
539,32,0.3527925908565521
540,16,0.3933297097682953
541,32,0.372712105512619
542,16,0.36796891689300537
543,32,0.36421066522598267
544,16,0.38489025831222534
545,32,0.2253035455942154
546,16,0.33252713084220886
547,32,0.38320988416671753
548,16,0.4006839394569397
549,32,0.3614109754562378
550,16,0.35521167516708374
551,32,0.4022859036922455
552,16,0.3831618130207062
